x,y,z
-24.18496132,9.39806747,-0.32895461
-24.18496132,9.09806728,0.17104539
-24.03495979,9.04806709,-0.32895461
-23.83496094,9.34806728,-0.32895461
-22.83496094,7.398067,-0.82895458
-22.33496094,7.69806719,-0.77895463
-22.13496017,7.648067,-0.77895463
-22.28495979,7.648067,-0.52895463
-22.13496017,7.59806728,-0.52895463
-22.23496056,7.74806738,-0.77895463
-22.28495979,7.79806709,-0.52895463
-22.93496132,7.398067,1.0710454
-22.43496132,7.44806719,0.3210454
-22.18496132,7.49806738,-0.0289546
-22.48496056,7.49806738,0.3210454
-22.28495979,7.84806728,0.3210454
-22.68496132,7.44806719,0.92104542
-22.48496056,7.148067,0.87104541
-22.33496094,7.29806709,0.87104541
-22.23496056,7.54806709,0.97104537
-22.18496132,8.09806728,-1.32895458
-22.53495979,8.2480669,-0.4289546
-22.13496017,7.898067,-0.77895463
-22.13496017,8.09806728,-0.77895463
-22.73496056,9.34806728,-0.57895458
-22.78495979,9.39806747,-0.57895458
-22.78495979,9.44806671,-0.57895458
-22.53495979,9.39806747,-0.77895463
-22.38496017,9.04806709,-0.72895461
-22.33496094,9.14806747,-0.72895461
-22.33496094,9.2480669,-0.57895458
-23.43496132,9.44806671,-0.32895461
-22.98496056,9.44806671,-0.0289546
-22.98496056,8.94806671,0.97104537
-22.33496094,8.14806747,0.3210454
-22.33496094,8.29806709,0.3210454
-22.23496056,8.19806671,0.5710454
-22.13496017,8.09806728,0.5710454
-22.33496094,8.19806671,1.02104545
-22.43496132,8.44806671,1.02104545
-22.58496094,9.04806709,-0.37895459
-22.88496017,9.04806709,0.37104541
-22.83496094,9.19806671,-0.2789546
-22.73496056,9.44806671,-0.37895459
-22.68496132,9.34806728,-0.37895459
-22.68496132,9.44806671,-0.37895459
-22.73496056,9.44806671,0.0710454
-22.73496056,9.34806728,0.3210454
-22.78495979,9.39806747,0.3210454
-22.68496132,9.39806747,0.0710454
-22.73496056,9.44806671,0.77104539
-22.63496017,9.34806728,0.67104542
-22.83496094,9.2480669,1.02104545
-22.83496094,9.44806671,1.02104545
-20.53495979,6.24806738,-0.62895459
-21.28495979,6.24806738,-0.1289546
-20.88496017,6.24806738,-0.1789546
-20.78495979,6.09806728,-0.1789546
-20.78495979,6.148067,-0.1789546
-20.63496017,6.24806738,-0.1789546
-20.63496017,5.99806738,1.12104535
-20.58496094,5.94806719,1.12104535
-20.63496017,6.148067,1.12104535
-20.63496017,6.24806738,1.0710454
-20.48496056,6.09806728,-1.27895463
-20.43496132,6.24806738,-0.57895458
-20.38496017,6.24806738,-0.57895458
-21.43496132,7.79806709,-1.27895463
-21.83496094,7.59806728,-0.77895463
-21.53495979,7.09806728,-1.02895463
-21.68496132,7.648067,-0.52895463
-21.68496132,7.74806738,-0.52895463
-21.43496132,6.29806709,-0.1289546
-21.63496017,6.94806719,-0.2789546
-21.68496132,6.99806738,-0.2789546
-21.58496094,6.898067,-0.2789546
-21.33496094,6.49806738,1.0710454
-22.03495979,7.398067,-0.2289546
-22.08496094,7.49806738,-0.2289546
-22.03495979,7.69806719,-0.2289546
-21.78495979,7.59806728,-0.2289546
-21.73496056,7.648067,-0.2289546
-21.78495979,7.79806709,-0.2289546
-21.73496056,7.84806728,-0.2289546
-21.53495979,7.84806728,-0.0789546
-21.33496094,7.79806709,0.27104539
-21.13496017,6.59806728,-0.1289546
-20.93496132,6.44806719,0.27104539
-21.08496094,6.69806719,-0.1289546
-20.83496094,6.398067,-0.1289546
-20.63496017,6.34806728,-0.1789546
-20.63496017,6.44806719,-0.1789546
-20.83496094,6.44806719,0.27104539
-20.53495979,6.44806719,0.2210454
-21.23496056,6.49806738,1.0710454
-21.03495979,7.04806709,0.77104539
-21.13496017,7.04806709,0.97104537
-20.88496017,6.49806738,0.5710454
-20.78495979,6.648067,0.72104537
-20.63496017,6.49806738,0.5710454
-20.58496094,6.49806738,0.5710454
-20.68496132,6.59806728,0.72104537
-20.63496017,6.398067,1.0710454
-20.63496017,6.49806738,1.0710454
-20.63496017,6.648067,1.02104545
-20.68496132,6.84806728,0.72104537
-20.63496017,6.79806709,0.72104537
-21.18496132,7.19806719,0.3210454
-21.18496132,7.24806738,0.3210454
-21.28495979,7.29806709,0.2210454
-21.28495979,7.398067,0.2210454
-21.28495979,7.44806719,0.2210454
-21.18496132,7.34806728,0.3210454
-21.18496132,7.398067,0.3210454
-21.28495979,7.49806738,0.2210454
-21.18496132,7.49806738,0.3210454
-21.13496017,7.24806738,0.77104539
-21.13496017,7.398067,0.77104539
-21.13496017,7.44806719,0.77104539
-21.08496094,7.148067,0.77104539
-21.03495979,7.148067,0.72104537
-21.08496094,7.19806719,0.77104539
-21.03495979,7.19806719,0.72104537
-21.08496094,7.34806728,0.77104539
-21.03495979,7.29806709,0.72104537
-21.28495979,7.19806719,0.97104537
-21.23496056,7.19806719,0.97104537
-21.08496094,7.54806709,0.42104539
-20.98496056,7.69806719,0.72104537
-22.08496094,7.99806738,-0.77895463
-21.53495979,7.898067,-0.77895463
-21.58496094,7.898067,-0.52895463
-21.43496132,8.09806728,-0.72895461
-21.88496017,8.84806728,-1.27895463
-21.78495979,9.14806747,-1.47895455
-21.68496132,8.89806747,-1.47895455
-21.68496132,8.9980669,-1.47895455
-21.73496056,9.14806747,-0.72895461
-21.23496056,8.04806709,-1.22895455
-21.13496017,8.09806728,-1.22895455
-21.03495979,8.2480669,-1.22895455
-20.98496056,8.29806709,-1.22895455
-20.98496056,8.39806747,-1.22895455
-21.28495979,8.19806671,-0.72895461
-21.08496094,8.29806709,-0.72895461
-20.88496017,8.59806728,-0.72895461
-20.88496017,8.64806747,-0.72895461
-21.13496017,8.94806671,-1.4289546
-21.08496094,8.94806671,-0.4289546
-20.93496132,9.19806671,-0.82895458
-20.88496017,9.04806709,-0.82895458
-20.88496017,8.89806747,-0.72895461
-20.88496017,8.94806671,-0.72895461
-20.88496017,9.04806709,-0.72895461
