x,y,z
-21.03496,21.398067,-2.028955
-20.984961,21.398067,-2.028955
-20.88496,21.098066,-2.028955
-21.13496,21.648067,-2.028955
-21.084961,21.598066,-2.028955
-20.484961,20.798067,-2.028955
-20.584961,20.648067,-1.978955
-20.934961,21.198067,-1.978955
-20.984961,21.248068,-1.678955
-20.934961,21.398067,-1.978955
-21.03496,21.398067,-1.328955
-20.834961,21.048067,-1.978955
-20.78496,20.948067,-1.978955
-20.734961,20.948067,-1.928955
-20.734961,20.998068,-1.928955
-20.734961,21.048067,-1.978955
-20.63496,20.748068,-1.978955
-20.684961,20.848066,-1.978955
-20.53496,20.698067,-1.978955
-20.584961,20.798067,-1.978955
-20.53496,20.798067,-1.978955
-20.63496,20.898067,-1.978955
-20.684961,20.998068,-1.978955
-20.684961,21.048067,-1.978955
-20.63496,20.998068,-1.978955
-20.63496,21.048067,-1.928955
-20.584961,20.898067,-1.978955
-20.53496,20.898067,-1.978955
-20.584961,20.998068,-1.928955
-20.53496,20.998068,-1.928955
-20.53496,21.048067,-1.828955
-20.834961,21.098066,-1.978955
-20.834961,21.248068,-1.978955
-20.734961,21.098066,-1.978955
-20.834961,21.448067,-1.978955
-20.834961,21.448067,-1.928955
-20.78496,21.298067,-1.978955
-20.734961,21.298067,-1.978955
-20.734961,21.398067,-1.928955
-20.734961,21.448067,-1.978955
-20.734961,21.398067,-1.878955
-20.684961,21.148067,-1.978955
-20.63496,21.148067,-1.978955
-20.584961,21.148067,-1.928955
-20.53496,21.148067,-1.928955
-20.53496,21.148067,-1.828955
-20.584961,21.198067,-1.928955
-20.584961,21.248068,-1.878955
-20.53496,21.198067,-1.778955
-20.584961,21.248068,-1.628955
-20.63496,21.298067,-1.978955
-20.684961,21.298067,-1.828955
-20.63496,21.348066,-1.878955
-20.63496,21.448067,-1.828955
-20.53496,21.298067,-1.928955
-20.584961,21.298067,-1.828955
-20.584961,21.348066,-1.828955
-20.53496,21.298067,-1.828955
-20.53496,21.348066,-1.828955
-20.53496,21.448067,-1.828955
-20.584961,21.398067,-1.778955
-20.684961,21.248068,-1.578955
-20.53496,21.348066,-1.578955
-20.53496,21.348066,-1.428955
-20.53496,21.448067,-1.478955
-20.53496,21.448067,-1.278955
-21.03496,21.348066,-1.128955
-21.03496,21.448067,-0.928955
-21.03496,21.448067,-0.878955
-21.03496,21.448067,-0.828955
-20.984961,21.348066,-0.828955
-20.984961,21.398067,-0.928955
-21.03496,21.398067,-0.778955
-21.03496,21.398067,-0.628955
-20.984961,21.348066,-0.778955
-20.934961,21.348066,-0.728955
-20.984961,21.348066,-0.678955
-20.984961,21.398067,-0.778955
-20.984961,21.448067,-0.778955
-20.934961,21.398067,-0.778955
-20.934961,21.398067,-0.728955
-20.984961,21.448067,-0.678955
-20.984961,21.448067,-0.628955
-21.084961,21.448067,-0.578955
-21.03496,21.398067,-0.578955
-20.984961,21.448067,-0.578955
-20.984961,21.448067,-0.528955
-21.13496,21.548067,-1.978955
-21.13496,21.848066,-1.978955
-21.084961,21.548067,-1.978955
-21.03496,21.498068,-1.978955
-21.03496,21.598066,-1.978955
-20.984961,21.498068,-1.928955
-20.984961,21.548067,-1.978955
-20.934961,21.498068,-1.928955
-20.984961,21.598066,-1.978955
-21.084961,21.748068,-1.978955
