x,y,z
-31.73496056,32.84806824,-2.9289546
-31.83496094,33.048069,-3.02895451
-31.78495979,32.94806671,-2.97895455
-31.73496056,32.89806747,-2.9289546
-31.78495979,33.24806595,-3.02895451
-31.73496056,33.19806671,-3.02895451
-31.73496056,33.24806595,-3.0789547
-31.73496056,33.14806747,-2.9289546
-31.73496056,33.19806671,-2.8289547
-31.88496017,33.298069,-3.12895465
-31.83496094,33.44806671,-3.12895465
-31.83496094,33.39806747,-3.02895451
-31.78495979,33.39806747,-2.9289546
-31.78495979,32.94806671,-2.5789547
-31.78495979,32.99806595,-2.52895451
-31.78495979,33.048069,-2.47895455
-31.83496094,33.048069,-2.22895455
-31.78495979,32.94806671,-2.22895455
-31.73496056,32.94806671,-2.27895451
-31.83496094,33.048069,-2.0789547
-31.78495979,32.99806595,-2.12895465
-31.73496056,33.048069,-2.1789546
-31.93496132,33.24806595,-2.52895451
-31.98496056,33.39806747,-2.72895455
-31.78495979,33.14806747,-2.77895451
-31.83496094,33.24806595,-2.4289546
-31.78495979,33.14806747,-2.47895455
-31.78495979,33.24806595,-2.47895455
-31.83496094,33.44806671,-2.77895451
-31.88496017,33.44806671,-2.6789546
-31.83496094,33.39806747,-2.62895465
-31.78495979,33.34806824,-2.72895455
-31.73496056,33.298069,-2.6789546
-31.73496056,33.39806747,-2.77895451
-31.88496017,33.44806671,-2.5789547
-31.83496094,33.39806747,-2.52895451
-31.83496094,33.44806671,-2.52895451
-31.78495979,33.34806824,-2.47895455
-31.73496056,33.44806671,-2.5789547
-31.93496132,33.298069,-2.37895465
-31.93496132,33.298069,-2.27895451
-31.98496056,33.39806747,-2.0789547
-31.78495979,33.14806747,-2.37895465
-31.73496056,33.09806824,-2.37895465
-31.83496094,33.09806824,-2.0789547
-31.88496017,33.19806671,-2.12895465
-31.88496017,33.24806595,-2.12895465
-31.73496056,33.14806747,-2.0789547
-31.73496056,33.298069,-2.37895465
-31.73496056,33.39806747,-2.22895455
-31.88496017,33.34806824,-2.12895465
-31.83496094,33.298069,-2.0789547
-31.78495979,33.39806747,-2.12895465
-32.58496094,34.89806747,-3.22895455
-32.58496094,34.94806671,-3.22895455
-32.5349617,34.74806595,-2.9289546
-32.5349617,34.798069,-2.87895465
-32.58496094,34.89806747,-3.1789546
-32.58496094,34.94806671,-3.12895465
-32.5349617,34.94806671,-3.12895465
-32.58496094,34.89806747,-3.02895451
-32.58496094,34.99806595,-3.12895465
-32.58496094,34.99806595,-3.02895451
-32.63496017,35.048069,-2.97895455
-32.58496094,34.94806671,-2.97895455
-32.5349617,34.74806595,-2.62895465
-32.5349617,34.798069,-2.62895465
-32.5349617,34.74806595,-2.52895451
-32.5349617,34.74806595,-2.47895455
-32.5349617,34.84806824,-2.5789547
-32.5349617,34.89806747,-2.62895465
-32.58496094,34.89806747,-2.4289546
-32.58496094,34.99806595,-2.52895451
-32.58496094,35.048069,-2.5789547
-32.5349617,34.99806595,-2.5789547
-32.5349617,34.84806824,-2.3289547
-32.58496094,34.89806747,-2.27895451
-32.58496094,34.99806595,-2.37895465
-32.58496094,35.048069,-2.37895465
-32.5349617,35.048069,-2.37895465
-32.13496017,33.69806671,-3.1789546
-32.18495941,33.84806824,-3.0789547
-32.18495941,34.09806824,-2.8289547
-32.0349617,33.548069,-3.1789546
-31.93496132,33.49806595,-3.0789547
-31.98496056,33.798069,-3.0789547
-32.0349617,33.69806671,-2.9289546
-32.0349617,33.74806595,-2.9289546
-31.93496132,33.84806824,-2.8289547
-31.83496094,33.69806671,-2.8289547
-31.78495979,33.69806671,-2.8289547
-31.98496056,34.048069,-3.1789546
-31.98496056,33.89806747,-2.8289547
-31.88496017,34.19806671,-3.1789546
-31.88496017,34.24806595,-3.02895451
-31.78495979,34.14806747,-3.0789547
-31.78495979,34.14806747,-2.9289546
-31.78495979,34.24806595,-2.87895465
-32.18495941,33.84806824,-2.0789547
-32.13496017,33.798069,-2.0789547
-32.33496094,34.14806747,-2.77895451
-32.33496094,34.14806747,-2.6789546
-32.33496094,34.14806747,-2.5789547
-32.18495941,33.89806747,-2.6789546
-32.18495941,34.048069,-2.72895455
-32.23495865,33.94806671,-2.4289546
-32.18495941,33.89806747,-2.4289546
-32.18495941,33.99806595,-2.4289546
-32.2849617,34.09806824,-2.77895451
-32.23495865,34.09806824,-2.72895455
-32.2849617,34.19806671,-2.72895455
-32.2849617,34.19806671,-2.6789546
-32.18495941,34.09806824,-2.6789546
-32.2849617,34.14806747,-2.52895451
-32.23495865,34.14806747,-2.52895451
-32.18495941,34.14806747,-2.5789547
-32.13496017,34.09806824,-2.47895455
-32.13496017,34.19806671,-2.47895455
-32.33496094,34.24806595,-2.37895465
-32.2849617,34.048069,-2.37895465
-32.2849617,34.048069,-2.22895455
-32.23495865,33.99806595,-2.22895455
-32.23495865,34.09806824,-2.3289547
-32.23495865,34.14806747,-2.3289547
-32.2849617,34.14806747,-2.22895455
-32.18495941,34.19806671,-2.3289547
-32.13496017,34.19806671,-2.37895465
-32.13496017,34.19806671,-2.3289547
-32.2849617,34.24806595,-2.12895465
-32.13496017,34.09806824,-2.0789547
-31.93496132,33.84806824,-2.6789546
-31.93496132,33.84806824,-2.5789547
-31.83496094,33.59806824,-2.77895451
-31.78495979,33.49806595,-2.62895465
-31.73496056,33.49806595,-2.62895465
-31.73496056,33.64806747,-2.6789546
-31.88496017,33.49806595,-2.5789547
-31.88496017,33.64806747,-2.52895451
-31.83496094,33.69806671,-2.72895455
-31.83496094,33.798069,-2.77895451
-31.83496094,33.798069,-2.62895465
-31.88496017,33.84806824,-2.52895451
-31.73496056,33.69806671,-2.5789547
-32.0349617,33.548069,-2.12895465
-32.0349617,33.49806595,-2.0789547
-32.08496094,33.59806824,-2.1789546
-31.98496056,33.798069,-2.0789547
-31.88496017,33.49806595,-2.27895451
-31.83496094,33.49806595,-2.12895465
-31.78495979,33.548069,-2.12895465
-31.73496056,33.548069,-2.12895465
-31.73496056,33.74806595,-2.12895465
-32.08496094,33.89806747,-2.62895465
-32.0349617,33.89806747,-2.62895465
-32.0349617,33.99806595,-2.77895451
-32.08496094,34.048069,-2.6789546
-32.08496094,34.09806824,-2.6789546
-31.98496056,34.14806747,-2.62895465
-31.93496132,34.24806595,-2.4289546
-31.73496056,33.89806747,-2.72895455
-31.88496017,33.89806747,-2.5789547
-31.78495979,34.09806824,-2.77895451
-32.0349617,33.99806595,-2.0789547
-31.93496132,33.89806747,-2.0789547
-31.93496132,33.99806595,-2.1789546
-31.93496132,34.048069,-2.0789547
-32.0349617,34.24806595,-2.37895465
-32.08496094,34.19806671,-2.22895455
-31.98496056,34.14806747,-2.3289547
-31.98496056,34.14806747,-2.22895455
-31.93496132,34.09806824,-2.22895455
-31.93496132,34.14806747,-2.22895455
-31.93496132,34.24806595,-2.3289547
-31.93496132,34.19806671,-2.27895451
-32.08496094,34.14806747,-2.0789547
-32.0349617,34.14806747,-2.0789547
-32.0349617,34.19806671,-2.12895465
-32.0349617,34.24806595,-2.0789547
-31.98496056,34.09806824,-2.1789546
-31.98496056,34.14806747,-2.12895465
-31.93496132,34.09806824,-2.1789546
-31.98496056,34.14806747,-2.0789547
-31.93496132,34.14806747,-2.0789547
-31.98496056,34.19806671,-2.1789546
-31.98496056,34.24806595,-2.12895465
-31.93496132,34.24806595,-2.1789546
-31.88496017,33.94806671,-2.12895465
-31.73496056,33.89806747,-2.12895465
-31.78495979,33.99806595,-2.12895465
-31.88496017,34.24806595,-2.3289547
-31.88496017,34.24806595,-2.22895455
-31.88496017,34.14806747,-2.1789546
-31.83496094,34.14806747,-2.0789547
-32.43495941,34.798069,-2.9289546
-32.48495865,34.89806747,-3.02895451
-32.43495941,34.94806671,-3.0789547
-32.48495865,35.048069,-3.12895465
-32.48495865,34.99806595,-3.0789547
-31.98496056,34.64806747,-3.22895455
-31.93496132,34.64806747,-3.22895455
-31.93496132,34.39806747,-3.12895465
-31.88496017,34.39806747,-3.12895465
-31.83496094,34.39806747,-3.0789547
-31.78495979,34.298069,-3.12895465
-31.73496056,34.34806824,-3.1789546
-31.73496056,34.39806747,-3.1789546
-31.78495979,34.298069,-2.87895465
-31.73496056,34.298069,-2.8289547
-32.0349617,34.74806595,-3.12895465
-32.38496017,34.298069,-2.72895455
-32.33496094,34.39806747,-2.6789546
-32.43495941,34.44806671,-2.47895455
-32.43495941,34.49806595,-2.72895455
-32.43495941,34.548069,-2.47895455
-32.38496017,34.49806595,-2.47895455
-32.38496017,34.64806747,-2.5789547
-32.2849617,34.298069,-2.5789547
-32.2849617,34.44806671,-2.52895451
-32.23495865,34.59806824,-2.52895451
-32.2849617,34.64806747,-2.4289546
-32.23495865,34.64806747,-2.4289546
-32.33496094,34.39806747,-2.22895455
-32.38496017,34.298069,-2.0789547
-32.33496094,34.39806747,-2.1789546
-32.38496017,34.49806595,-2.27895451
-32.38496017,34.548069,-2.22895455
-32.33496094,34.548069,-2.22895455
-32.43495941,34.548069,-2.0789547
-32.33496094,34.548069,-2.1789546
-32.33496094,34.59806824,-2.1789546
-32.23495865,34.298069,-2.22895455
-32.18495941,34.34806824,-2.22895455
-32.2849617,34.298069,-2.1789546
-32.2849617,34.34806824,-2.0789547
-32.23495865,34.34806824,-2.0789547
-32.2849617,34.39806747,-2.1789546
-32.23495865,34.39806747,-2.12895465
-32.2849617,34.39806747,-2.0789547
-32.18495941,34.298069,-2.12895465
-32.2849617,34.59806824,-2.1789546
-32.48495865,34.69806671,-2.5789547
-32.43495941,34.798069,-2.52895451
-32.43495941,34.84806824,-2.52895451
-32.33496094,34.74806595,-2.5789547
-32.48495865,34.94806671,-2.5789547
-32.43495941,34.94806671,-2.47895455
-32.23495865,34.74806595,-2.5789547
-32.33496094,34.94806671,-2.3289547
-32.0349617,34.298069,-2.37895465
-31.98496056,34.298069,-2.27895451
-32.0349617,34.34806824,-2.12895465
-32.0349617,34.34806824,-2.0789547
-31.93496132,34.298069,-2.12895465
-31.88496017,34.298069,-2.3289547
-31.88496017,34.298069,-2.22895455
-31.88496017,34.39806747,-2.27895451
-32.08496094,34.69806671,-2.5789547
-18.93496132,13.84806728,-1.47895455
-19.18496132,13.9980669,-1.77895463
-19.18496132,14.09806728,-1.77895463
-19.13496017,14.09806728,-1.72895455
-19.08496094,13.94806671,-1.72895455
-18.93496132,13.9980669,-1.6789546
-19.03495979,14.14806747,-1.62895465
-18.98496056,14.2480669,-1.62895465
-19.18496132,13.9980669,-1.32895458
-19.18496132,14.09806728,-1.32895458
-19.03495979,13.89806747,-1.47895455
-18.93496132,13.89806747,-1.47895455
-18.93496132,13.94806671,-1.32895458
-18.93496132,14.14806747,-1.52895463
-18.98496056,14.09806728,-1.47895455
-19.08496094,14.09806728,-1.32895458
-18.93496132,14.14806747,-1.32895458
-19.18496132,14.04806709,-1.12895465
-19.23496056,14.19806671,-1.07895458
-18.93496132,14.04806709,-1.07895458
-19.33496094,14.7480669,-1.72895455
-19.38496017,14.9980669,-1.77895463
-19.38496017,15.04806709,-1.77895463
-19.33496094,14.79806709,-1.37895465
-19.33496094,14.94806671,-1.57895458
-19.33496094,14.89806747,-1.37895465
-19.23496056,14.34806728,-1.72895455
-19.13496017,14.4980669,-1.6789546
-19.03495979,14.64806747,-1.62895465
-18.98496056,14.4980669,-1.62895465
-19.28495979,14.39806747,-1.57895458
-19.23496056,14.39806747,-1.57895458
-19.23496056,14.44806671,-1.52895463
-19.28495979,14.54806709,-1.57895458
-19.13496017,14.4980669,-1.52895463
-19.08496094,14.44806671,-1.57895458
-19.08496094,14.44806671,-1.47895455
-18.93496132,14.29806709,-1.57895458
-18.98496056,14.29806709,-1.47895455
-19.03495979,14.4980669,-1.47895455
-19.03495979,14.54806709,-1.47895455
-18.98496056,14.54806709,-1.47895455
-18.93496132,14.64806747,-1.4289546
-19.13496017,14.84806728,-1.82895458
-19.23496056,14.79806709,-1.6789546
-19.18496132,14.79806709,-1.6789546
-19.08496094,14.69806671,-1.6789546
-19.08496094,14.7480669,-1.62895465
-19.08496094,14.89806747,-1.77895463
-19.08496094,14.94806671,-1.77895463
-19.03495979,14.89806747,-1.77895463
-19.08496094,14.9980669,-1.77895463
-18.93496132,14.94806671,-1.6789546
-19.28495979,14.7480669,-1.57895458
-19.28495979,14.79806709,-1.52895463
-19.28495979,14.79806709,-1.4289546
-19.18496132,14.69806671,-1.52895463
-19.23496056,14.7480669,-1.37895465
-19.28495979,14.84806728,-1.37895465
-19.18496132,14.79806709,-1.37895465
-19.18496132,14.84806728,-1.37895465
-19.28495979,14.89806747,-1.52895463
-19.23496056,14.89806747,-1.52895463
-19.28495979,14.9980669,-1.52895463
-19.28495979,15.04806709,-1.47895455
-19.13496017,14.9980669,-1.57895458
-19.28495979,14.89806747,-1.37895465
-19.13496017,14.94806671,-1.32895458
-19.18496132,14.9980669,-1.22895455
-19.08496094,14.7480669,-1.47895455
-19.03495979,14.79806709,-1.4289546
-18.98496056,14.7480669,-1.57895458
-18.98496056,14.84806728,-1.57895458
-19.03495979,14.7480669,-1.37895465
-19.08496094,14.79806709,-1.32895458
-19.03495979,14.79806709,-1.37895465
-18.98496056,14.84806728,-1.37895465
-19.08496094,14.9980669,-1.52895463
-18.93496132,14.89806747,-1.57895458
-18.98496056,15.04806709,-1.57895458
-18.93496132,15.04806709,-1.57895458
-19.08496094,14.94806671,-1.32895458
-19.03495979,14.94806671,-1.22895455
-18.98496056,14.89806747,-1.22895455
-19.13496017,14.29806709,-1.07895458
-19.18496132,15.04806709,-1.12895465
-19.18496132,15.04806709,-1.07895458
-19.08496094,14.84806728,-1.12895465
-18.98496056,14.7480669,-1.1789546
-19.08496094,14.89806747,-1.1789546
-19.08496094,14.89806747,-1.12895465
-19.08496094,14.94806671,-1.1789546
-19.03495979,14.89806747,-1.12895465
-19.38496017,15.39806747,-1.72895455
-19.38496017,15.44806671,-1.72895455
-19.33496094,15.29806709,-1.37895465
-19.33496094,15.34806728,-1.37895465
-19.43496132,15.4980669,-1.77895463
-19.43496132,15.64806747,-1.62895465
-19.43496132,15.79806709,-1.82895458
-19.43496132,15.7480669,-1.77895463
-19.43496132,15.79806709,-1.6789546
-19.33496094,15.7480669,-1.72895455
-19.38496017,15.79806709,-1.6789546
-19.38496017,15.64806747,-1.57895458
-19.38496017,15.69806671,-1.57895458
-19.38496017,15.84806728,-1.57895458
-19.33496094,15.79806709,-1.57895458
-19.23496056,15.09806728,-1.82895458
-19.23496056,15.14806747,-1.6789546
-19.13496017,15.09806728,-1.77895463
-19.13496017,15.14806747,-1.6789546
-19.13496017,15.39806747,-1.82895458
-19.18496132,15.29806709,-1.6789546
-19.18496132,15.34806728,-1.6789546
-19.08496094,15.2480669,-1.77895463
-19.08496094,15.2480669,-1.72895455
-19.08496094,15.19806671,-1.62895465
-18.98496056,15.14806747,-1.77895463
-19.08496094,15.29806709,-1.77895463
-18.93496132,15.34806728,-1.62895465
-18.93496132,15.39806747,-1.72895455
-19.18496132,15.2480669,-1.52895463
-19.13496017,15.19806671,-1.47895455
-19.13496017,15.19806671,-1.4289546
-19.13496017,15.2480669,-1.47895455
-19.18496132,15.2480669,-1.37895465
-19.28495979,15.29806709,-1.37895465
-19.28495979,15.34806728,-1.37895465
-19.18496132,15.34806728,-1.32895458
-19.08496094,15.09806728,-1.52895463
-19.08496094,15.19806671,-1.47895455
-18.98496056,15.09806728,-1.4289546
-18.98496056,15.2480669,-1.57895458
-18.98496056,15.2480669,-1.47895455
-19.03495979,15.34806728,-1.57895458
-19.03495979,15.44806671,-1.52895463
-19.08496094,15.39806747,-1.47895455
-18.93496132,15.34806728,-1.4289546
-18.93496132,15.44806671,-1.57895458
-18.93496132,15.44806671,-1.4289546
-19.08496094,15.39806747,-1.32895458
-19.08496094,15.44806671,-1.32895458
